index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
748,Transpose,32,1,1,1,1,1,384,1,1,0
749,FullyConnected,384,1,384,1,1,1,32,1,1,12288
750,Transpose,32,1,1,1,1,1,384,1,1,0
751,FullyConnected,384,1,384,1,1,1,32,1,1,12288
752,Transpose,32,1,1,1,1,1,384,1,1,0
753,FullyConnected,384,1,384,1,1,1,32,1,1,12288
754,OP_83,32,1,1,1,1,1,32,4,384,0
755,Reshape,32,4,384,1,1,1,32,4,384,0
756,Transpose,32,4,384,1,1,1,32,384,4,0
757,Reshape,32,384,4,1,1,1,128,1,1,0
758,FullyConnected,128,1,1,1,1,1,128,1,1,16384
759,FullyConnected,512,1,384,1,1,1,128,1,1,65536
760,Add,128,1,1,1,1,1,128,1,1,0
761,Reshape,128,1,1,1,1,1,128,1,384,0
762,Add,128,1,384,1,1,1,128,1,384,0
763,FullyConnected,128,1,384,1,1,1,512,1,1,65536
764,FullyConnected,512,1,384,1,1,1,128,1,1,65536
765,Shortcut,128,1,384,1,0,0,128,1,384,49152
766,Add,128,1,384,1,1,1,128,1,384,0
767,FullyConnected,128,1,384,1,1,1,512,1,1,65536
768,FullyConnected,512,1,384,1,1,1,128,1,1,65536
769,Shortcut,128,1,384,1,0,0,128,1,384,49152
770,Add,128,1,384,1,1,1,128,1,384,0
771,FullyConnected,128,1,384,1,1,1,512,1,1,65536
772,FullyConnected,512,1,384,1,1,1,128,1,1,65536
773,Shortcut,128,1,384,1,0,0,128,1,384,49152
774,Add,128,1,384,1,1,1,128,1,384,0
775,FullyConnected,128,1,384,1,1,1,512,1,1,65536
776,FullyConnected,512,1,384,1,1,1,128,1,1,65536
777,Shortcut,128,1,384,1,0,0,128,1,384,49152
778,FullyConnected,128,1,384,1,1,1,512,1,1,65536
779,Shortcut,512,1,384,1,0,0,512,1,384,196608
780,Add,512,1,384,1,1,1,512,1,384,0
781,FullyConnected,512,1,384,1,1,1,128,1,1,65536
782,Reshape,128,1,1,1,1,1,32,384,4,0
783,Transpose,32,384,4,1,1,1,32,4,384,0
784,FullyConnected,512,1,384,1,1,1,128,1,1,65536
785,FullyConnected,128,1,1,1,1,1,128,1,1,16384
786,Reshape,128,1,1,1,1,1,32,384,4,0
787,Transpose,32,384,4,1,1,1,32,4,384,0
788,FullyConnected,128,1,1,1,1,1,128,1,1,16384
789,Reshape,128,1,1,1,1,1,32,384,4,0
790,Transpose,32,384,4,1,1,1,32,4,384,0
791,Transpose,32,4,384,1,1,1,384,4,32,0
792,Reshape,32,4,384,1,1,1,32,4,384,0
793,OP_49,1,1,1,1,1,1,32,1,384,0
794,Reshape,384,4,32,1,1,1,384,4,32,0
795,OP_49,1,1,1,1,1,1,384,1,32,0
796,Reshape,384,1,32,1,1,1,384,1,1,0
797,Reshape,384,1,32,1,1,1,384,1,1,0
798,Reshape,384,1,32,1,1,1,384,1,1,0
799,Reshape,384,1,32,1,1,1,384,1,1,0
800,Transpose,384,1,1,1,1,1,32,1,1,0
801,FullyConnected,32,1,384,1,1,1,384,1,1,12288
802,Transpose,384,1,1,1,1,1,32,1,1,0
803,FullyConnected,32,1,384,1,1,1,384,1,1,12288
804,Transpose,384,1,1,1,1,1,32,1,1,0
805,FullyConnected,32,1,384,1,1,1,384,1,1,12288
806,Transpose,384,1,1,1,1,1,32,1,1,0
807,FullyConnected,32,1,384,1,1,1,384,1,1,12288
808,OP_83,384,1,1,1,1,1,384,4,384,0
809,Mul,384,4,384,1,1,1,384,4,384,0
810,Reshape,384,4,384,1,1,1,384,4,384,0
811,Mul,384,4,384,1,1,1,384,4,384,0
812,Add,384,4,384,1,1,1,384,4,384,0
813,Softmax,384,4,384,1,1,1,384,4,384,0
814,Reshape,384,4,384,1,1,1,384,4,384,0
815,OP_49,1,1,1,1,1,1,384,1,384,0
816,Reshape,32,4,384,1,1,1,32,4,384,0
817,OP_49,1,1,1,1,1,1,32,1,384,0
818,Reshape,32,1,384,1,1,1,32,1,1,0
819,Reshape,32,1,384,1,1,1,32,1,1,0
820,Reshape,32,1,384,1,1,1,32,1,1,0
821,Reshape,32,1,384,1,1,1,32,1,1,0
822,Transpose,32,1,1,1,1,1,384,1,1,0
823,FullyConnected,384,1,384,1,1,1,32,1,1,12288
824,Transpose,32,1,1,1,1,1,384,1,1,0
825,FullyConnected,384,1,384,1,1,1,32,1,1,12288
826,Transpose,32,1,1,1,1,1,384,1,1,0
827,FullyConnected,384,1,384,1,1,1,32,1,1,12288
828,Transpose,32,1,1,1,1,1,384,1,1,0
829,FullyConnected,384,1,384,1,1,1,32,1,1,12288
830,OP_83,32,1,1,1,1,1,32,4,384,0
831,Reshape,32,4,384,1,1,1,32,4,384,0
832,Transpose,32,4,384,1,1,1,32,384,4,0
833,Reshape,32,384,4,1,1,1,128,1,1,0
834,FullyConnected,128,1,1,1,1,1,128,1,1,16384
835,FullyConnected,512,1,384,1,1,1,128,1,1,65536
836,Add,128,1,1,1,1,1,128,1,1,0
837,Reshape,128,1,1,1,1,1,128,1,384,0
